HCT116_pH7A	HCT116_pH7B	HCT116_pH7C	HCT116_pH6A	HCT116_pH6B	HCT116_pH6C	Me3pH7A	Me3pH7B	Me3pH6A	Me3pH6B	Me3pH6C	Me3pH7C
ENSG00000000003	423	441	455	436	534	435	74	119	134	121	104	106
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	1074	1072	1073	667	670	733	1090	1308	1136	1148	998	1125
ENSG00000000457	152	151	182	183	222	190	194	211	193	207	139	180
ENSG00000000460	579	622	525	621	395	432	869	939	395	365	486	846
ENSG00000000938	0	0	0	1	3	0	1	0	0	0	0	0
ENSG00000000971	0	0	0	0	0	0	0	6	2	2	7	0
ENSG00000001036	1093	1077	1218	1378	1359	1236	1843	2238	1823	2060	1829	1599
ENSG00000001084	916	1104	1202	1101	1847	1349	332	430	321	371	439	308
ENSG00000001167	565	593	613	473	566	402	527	544	303	265	385	420
ENSG00000001460	68	97	121	255	287	234	128	142	207	222	208	152
ENSG00000001461	122	87	148	283	248	334	622	589	694	724	762	554
ENSG00000001497	621	811	742	777	668	656	628	517	384	499	532	720
ENSG00000001561	578	615	517	690	758	466	797	1013	1518	1532	1407	732
ENSG00000001617	44	43	48	117	83	62	12	3	20	52	88	37
ENSG00000001626	0	1	0	2	0	1	0	0	0	0	0	0
ENSG00000001629	755	579	676	908	1089	1052	1374	1727	1676	1783	1805	1417
ENSG00000001630	2	2	4	1	5	3	5	0	1	2	0	2
ENSG00000001631	610	579	606	567	622	632	764	874	660	688	651	685
ENSG00000002016	353	320	314	302	337	292	182	182	120	120	146	203
ENSG00000002079	15	20	18	93	78	125	0	0	3	12	5	1
ENSG00000002330	26	24	34	65	42	19	9	8	18	28	62	34
ENSG00000002549	1332	1451	1476	1334	1315	1289	1295	1478	1431	1694	1625	1270
ENSG00000002586	124	129	206	311	258	330	739	582	551	673	638	841
ENSG00000002587	788	896	1034	681	481	452	1	3	1	3	13	6
ENSG00000002726	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000002745	459	366	747	158	86	179	0	1	0	0	1	0
ENSG00000002746	15	26	35	56	76	15	2	2	18	25	32	1
ENSG00000002822	132	241	238	343	316	187	262	105	107	219	366	448
ENSG00000002834	2093	2381	2714	3393	3334	2386	3310	2765	1532	2014	1900	3382
ENSG00000002919	273	288	289	288	322	226	210	210	258	261	223	210
ENSG00000002933	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	2227	2357	2118	1672	1691	1581	2443	2744	1589	1755	1664	2290
ENSG00000003096	72	59	81	65	56	25	3	3	0	0	0	3
ENSG00000003137	76	77	96	111	168	96	0	1	3	3	3	1
ENSG00000003147	89	86	116	288	350	308	44	45	150	145	126	37
ENSG00000003249	144	225	287	497	376	332	94	76	117	161	192	161
ENSG00000003393	809	816	865	934	1011	860	742	763	661	633	638	689
ENSG00000003400	51	29	42	140	151	157	13	16	39	45	32	17
ENSG00000003402	332	360	424	1076	1562	1075	733	709	838	985	941	677
ENSG00000003436	128	128	266	506	689	549	443	521	224	280	181	381
ENSG00000003509	422	369	363	371	547	387	317	371	413	438	407	350
